mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,pesticide,commodity_code,commodity_name
10.0,10 mg/Kg,2010,43,,2011,,,Po,,,,Fludioxonil,VR 0508,Sweet potato
0.05,0.05 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,VR 0508,Sweet potato
0.02,0.02 mg/Kg,9,42,,2010,,,,,,,Methoxyfenozide,VR 0508,Sweet potato
0.8,0.8 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0508,Sweet potato
0.1,0.1 mg/Kg,94,,,,,,,,,,Aldicarb,VR 0508,Sweet potato
0.05,0.05 mg/Kg,4,37,,2005,,,,,,,Ethoprophos,VR 0508,Sweet potato
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Flumioxazin,VR 0508,Sweet potato
0.02,0.02 mg/Kg,2,36,35,2004,(*),,,,,,Carbaryl,VR 0508,Sweet potato
9.0,9 mg/Kg,2019,52,,2021,,,Po,,,,Thiabendazole,VR 0508,Sweet potato
0.02,0.02 mg/Kg,2016,49,,2017,(*),,,,,,Spiromesifen,VR 0508,Sweet potato
0.05,0.05 mg/Kg,2018,51,,2019,(*),,,,,,Kresoxim-Methyl,VR 0574,Beetroot
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,VR 0574,Beetroot
4.0,4 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0574,Beetroot
0.2,0.2 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,VR 0574,Beetroot
0.1,0.1 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,VR 0574,Beetroot
1.5,1.5 mg/Kg,2017,50,,2018,,,,,,,Cyprodinil,VR 0577,Carrot
0.05,0.05 mg/Kg,,,,1991,(*),,,,,Recommended withdrawal by JMPR (2021),Metalaxyl,VR 0577,Carrot
1.0,1 mg/Kg,1995,31,28-30,1999,,c,,,,,Dithiocarbamates,VR 0577,Carrot
0.04,0.04 mg/Kg,2019,52,,2021,,,,,,,Spirotetramat,VR 0577,Carrot
0.08,0.08 mg/Kg,2013,46,,2014,,,,,,,Chlorantraniliprole,VR 0577,Carrot
1.0,1 mg/Kg,7,40,,2008,,,,,,,Pyrimethanil,VR 0577,Carrot
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,Glufosinate-Ammonium,VR 0577,Carrot
0.2,0.2 mg/Kg,,,,1997,,,,E,,,DDT,VR 0577,Carrot
0.1,0.1 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,VR 0577,Carrot
0.2,0.2 mg/Kg,2014,47,,2015,,,,,,,Fenamidone,VR 0577,Carrot
0.5,0.5 mg/Kg,,28,,1997,,,,,,,Diazinon,VR 0577,Carrot
0.5,0.5 mg/Kg,9,42,,2010,,,,,,,Methoxyfenozide,VR 0577,Carrot
10.0,10 mg/Kg,94,29,28,1997,,,Po,,,,Iprodione,VR 0577,Carrot
1.0,1 mg/Kg,2018,51,,2019,,,,,,,Fludioxonil,VR 0577,Carrot
0.2,0.2 mg/Kg,98,38,"32,34,36,37",2006,,B,,,,,Carbendazim,VR 0577,Carrot
0.6,0.6 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,VR 0577,Carrot
0.6,0.6 mg/Kg,12,45,,2013,,,,,,,Penthiopyrad,VR 0577,Carrot
0.15,0.15 mg/Kg,2017,50,,2018,,,,,,,Isopyrazam,VR 0577,Carrot
0.05,0.05 mg/Kg,2013,46,,2014,,,,,,,Sulfoxaflor,VR 0577,Carrot
0.4,0.4 mg/Kg,2012,45,,2013,,,,,,,Fluopyram,VR 0577,Carrot
0.4,0.4 mg/Kg,11,44,,2012,,,,,,,Tebuconazole,VR 0577,Carrot
0.5,0.5 mg/Kg,2016,49,,2017,,,,,,,Pendimethalin,VR 0577,Carrot
0.1,0.1 mg/Kg,,,,,,,,,,,Permethrin,VR 0577,Carrot
0.1,0.1 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,VR 0577,Carrot
5.0,5 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,VR 0577,Carrot
0.5,0.5 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,VR 0577,Carrot
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Oxamyl,VR 0577,Carrot
4.0,4 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0577,Carrot
0.2,0.2 mg/Kg,7,40,,2008,,,,,,,Difenoconazole,VR 0577,Carrot
1.0,1 mg/Kg,2015,48,,2016,,,,,,,Fluxapyroxad,VR 0577,Carrot
0.02,0.02 mg/Kg,2,36,35,2004,,,,,,,Deltamethrin,VR 0577,Carrot
1.0,1 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,VR 0578,Celeriac
0.4,0.4 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,VR 0578,Celeriac
0.5,0.5 mg/Kg,7,40,,2008,,,,,,,Difenoconazole,VR 0578,Celeriac
4.0,4 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0578,Celeriac
4.0,4 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0579,"Chervil, turnip-rooted"
0.5,0.5 mg/Kg,,,,,,,,,,,Permethrin,VR 0583,Horseradish
4.0,4 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0583,Horseradish
1.0,1 mg/Kg,2015,48,,2016,,,,,,,Chlorothalonil,VR 0583,Horseradish
1.0,1 mg/Kg,2015,48,,2016,,,,,,,Fluxapyroxad,VR 0588,Parsnip
0.7,0.7 mg/Kg,2013,46,,2014,,,,,,,Cyprodinil,VR 0588,Parsnip
4.0,4 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0588,Parsnip
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Oxamyl,VR 0588,Parsnip
0.1,0.1 mg/Kg,99,35,"33,34",2003,,,,,,,Folpet,VR 0589,Potato
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Spinetoram,VR 0589,Potato
30.0,30 mg/Kg,1,38,"34,35,37",2006,,,Po,,,,Chlorpropham,VR 0589,Potato
0.05,0.05 mg/Kg,2012,45,,2013,,,,,,,Penthiopyrad,VR 0589,Potato
0.02,0.02 mg/Kg,2014,47,,2015,(*),,,,,,Fenamidone,VR 0589,Potato
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,Glufosinate-Ammonium,VR 0589,Potato
0.01,0.01 mg/Kg,4,38,32-37,2006,(*),,,,,,Oxydemeton-Methyl,VR 0589,Potato
9.0,9 mg/Kg,2018,51,,2019,,,Po,,,,Imazalil,VR 0589,Potato
0.1,0.1 mg/Kg,2013,46,,2014,,,,,,,Diquat,VR 0589,Potato
0.02,0.02 mg/Kg,7,40,,2008,,,,,,,Zoxamide,VR 0589,Potato
0.05,0.05 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,VR 0589,Potato
3.0,3 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,VR 0589,Potato
0.01,0.01 mg/Kg,2,36,35,2004,(*),,,,,,Deltamethrin,VR 0589,Potato
0.05,0.05 mg/Kg,4,37,,2005,,,,,,,Ethoprophos,VR 0589,Potato
0.02,0.02 mg/Kg,3,37,36,2005,(*),,,,,,Famoxadone,VR 0589,Potato
0.05,0.05 mg/Kg,2017,50,,2018,(*),,,,,,Fenpyroximate,VR 0589,Potato
0.02,0.02 mg/Kg,5,38,,2006,,,,,,,Indoxacarb,VR 0589,Potato
0.05,0.05 mg/Kg,2013,46,,2014,,,,,,,Cyantraniliprole,VR 0589,Potato
0.02,0.02 mg/Kg,9,42,,2010,(*),,,,,,Benalaxyl,VR 0589,Potato
0.01,0.01 mg/Kg,1,35,34,2003,(*),,,,,,Spinosad,VR 0589,Potato
0.05,0.05 mg/Kg,6,39,,2007,(*),,,,,,Endosulfan,VR 0589,Potato
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,Methomyl,VR 0589,Potato
0.2,0.2 mg/Kg,1998,,,,,,,,,,"2,4-D",VR 0589,Potato
0.02,0.02 mg/Kg,1,35,34,2003,,,,,,Recommended withdrawal by JMPR (2021),Fipronil,VR 0589,Potato
0.02,0.02 mg/Kg,9,42,,2010,(*),,,,,,Metaflumizone,VR 0589,Potato
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Flumioxazin,VR 0589,Potato
0.01,0.01 mg/Kg,2015,48,,2016,(*),,,,,,Lufenuron,VR 0589,Potato
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Novaluron,VR 0589,Potato
0.02,0.02 mg/Kg,2014,47,,2015,(*),,,,,,Prothioconazole,VR 0589,Potato
0.8,0.8 mg/Kg,8,41,,2009,,,,,,,Spirotetramat,VR 0589,Potato
0.1,0.1 mg/Kg,2013,46,,2014,,,,,,,Bentazone,VR 0589,Potato
0.01,0.01 mg/Kg,9,42,,2010,(*),,,,,,Chlorpyrifos-Methyl,VR 0589,Potato
0.05,0.05 mg/Kg,7,40,,2008,(*),,,,,,Pyrimethanil,VR 0589,Potato
4.0,4 mg/Kg,2013,46,,2014,,,Po,,,,Difenoconazole,VR 0589,Potato
0.05,0.05 mg/Kg,0,34,,2003,,,,,,,Captan,VR 0589,Potato
0.05,0.05 mg/Kg,,,,,(*),,,,,Withdrawal recommended by JMPR (2021),Metalaxyl,VR 0589,Potato
0.05,0.05 mg/Kg,1,35,,2003,(*),,,,,,Dimethipin,VR 0589,Potato
0.01,0.01 mg/Kg,2015,48,,2017,,,,,,,Flonicamid,VR 0589,Potato
0.02,0.02 mg/Kg,2016,49,,2017,,,,,,,Benzovindiflupyr,VR 0589,Potato
0.05,0.05 mg/Kg,97,32,31,2001,(*),,,,,,Phosmet,VR 0589,Potato
0.005,0.005 mg/Kg,2015,48,,2016,(*),,,,,,Abamectin,VR 0589,Potato
0.01,0.01 mg/Kg,,,,1995,(*),,,,,,Diazinon,VR 0589,Potato
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,Ametoctradin,VR 0589,Potato
0.02,0.02 mg/Kg,2016,49,,2017,(*),,,,,,Spiromesifen,VR 0589,Potato
0.02,0.02 mg/Kg,2014,47,,2015,,,,,,,Sedaxane,VR 0589,Potato
0.15,0.15 mg/Kg,2017,50,,2018,,,,,,,Fluopyram,VR 0589,Potato
0.02,0.02 mg/Kg,4,38,37,2006,(*),,,,,,Trifloxystrobin,VR 0589,Potato
0.07,0.07 mg/Kg,2018,51,,2019,,,,,,,Fluxapyroxad,VR 0589,Potato
0.05,0.05 mg/Kg,,,,,,,,,,Recommended for withdrawal,Dimethoate,VR 0589,Potato
7.0,7 mg/Kg,2013,46,,2014,,,Po,,,,Azoxystrobin,VR 0589,Potato
0.01,0.01 mg/Kg,7,40,,2008,(*),,,,,,Cyfluthrin/beta-cyfluthrin,VR 0589,Potato
0.05,0.05 mg/Kg,3,37,36,2005,,,,,,,Methamidophos,VR 0589,Potato
0.3,0.3 mg/Kg,2006,39,,2007,,,,,,,Propamocarb,VR 0589,Potato
0.04,0.04 mg/Kg,2015,48,,2016,(*),,,,,,Acetochlor,VR 0589,Potato
0.6,0.6 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,VR 0589,Potato
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Tolfenpyrad,VR 0589,Potato
0.1,0.1 mg/Kg,2018,51,,2019,,,,,,,Mandipropamid,VR 0589,Potato
0.03,0.03 mg/Kg,6,39,,2007,,,,,,,Propargite,VR 0589,Potato
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,Chlorfenapyr,VR 0589,Potato
5.0,5 mg/Kg,2013,46,,2014,,,Po,,,,Fludioxonil,VR 0589,Potato
0.8,0.8 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0589,Potato
0.05,0.05 mg/Kg,"94,00",29,28,1997,(*),,,,,,Parathion-Methyl,VR 0589,Potato
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Cyprodinil,VR 0589,Potato
2.0,2 mg/Kg,4,37,,2005,,,,,,,Chlorpyrifos,VR 0589,Potato
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Methiocarb,VR 0589,Potato
50.0,50 mg/Kg,98,,,,,,,,,,Maleic Hydrazide,VR 0589,Potato
0.3,0.3 mg/Kg,12,45,,2013,,,,,,,Phorate,VR 0589,Potato
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,VR 0589,Potato
0.05,0.05 mg/Kg,,,,,(*),,,,,,Permethrin,VR 0589,Potato
0.3,0.3 mg/Kg,2019,52,,2021,,,,,,,Tolclofos-Methyl,VR 0589,Potato
0.02,0.02 mg/Kg,6,39,,2007,(*),,,,,,Thiacloprid,VR 0589,Potato
15.0,15 mg/Kg,0,35,34,2003,,,Po,,,,Thiabendazole,VR 0589,Potato
0.5,0.5 mg/Kg,99,35,"28,31,33,34",2003,,,,,,Recommended for withdrawal,Clethodim,VR 0589,Potato
0.05,0.05 mg/Kg,7,40,,2008,,,,,,,Dimethomorph,VR 0589,Potato
0.01,0.01 mg/Kg,2015,48,,2016,(*),,,,,,Cyazofamid,VR 0589,Potato
0.2,0.2 mg/Kg,2004,37,,2005,,"c,m,n,p",,,,,Dithiocarbamates,VR 0589,Potato
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Oxamyl,VR 0589,Potato
0.1,0.1 mg/Kg,,,,,,,,,,,Permethrin,VR 0591,"Radish, Japanese"
4.0,4 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VR 0591,"Radish, Japanese"
0.05,0.05 mg/Kg,2018,51,,2019,(*),,,,,,Kresoxim-Methyl,VR 0596,Sugar beet
0.3,0.3 mg/Kg,3,37,36,2005,,,,,,,Carbosulfan,VR 0596,Sugar beet
0.15,0.15 mg/Kg,2015,48,,2016,,,,,,,Acetochlor,VR 0596,Sugar beet
0.5,0.5 mg/Kg,1995,31,28-30,1999,,"C,n",,,,,Dithiocarbamates,VR 0596,Sugar beet
0.3,0.3 mg/Kg,9,42,,2010,,,,,,,Methoxyfenozide,VR 0596,Sugar beet
0.05,0.05 mg/Kg,94,,,,(*),,,,,,Aldicarb,VR 0596,Sugar beet
0.4,0.4 mg/Kg,9,43,,2011,,,,,,,Haloxyfop,VR 0596,Sugar beet
0.02,0.02 mg/Kg,3,37,36,2005,,,,,,,Methamidophos,VR 0596,Sugar beet
0.02,0.02 mg/Kg,2007,40,,2008,,,,,,,Propiconazole,VR 0596,Sugar beet
0.5,0.5 mg/Kg,2012,46,45,2014,,,,,,,Penthiopyrad,VR 0596,Sugar beet
0.01,0.01 mg/Kg,4,38,32-37,2006,(*),,,,,,Oxydemeton-Methyl,VR 0596,Sugar beet
0.2,0.2 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,VR 0596,Sugar beet
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Methiocarb,VR 0596,Sugar beet
0.1,0.1 mg/Kg,8,41,,2009,,,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),VR 0596,Sugar beet
0.05,0.05 mg/Kg,,,,,(*),,,,,Withdrawal recommended by JMPR (2021),Metalaxyl,VR 0596,Sugar beet
0.05,0.05 mg/Kg,10,43,,2011,,,,,,,Cyproconazole,VR 0596,Sugar beet
0.05,0.05 mg/Kg,"94,00",29,28,1997,(*),,,,,,Parathion-Methyl,VR 0596,Sugar beet
0.02,0.02 mg/Kg,5,38,,2006,,,,,,,Terbufos,VR 0596,Sugar beet
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Phorate,VR 0596,Sugar beet
0.5,0.5 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,VR 0596,Sugar beet
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Oxamyl,VR 0596,Sugar beet
0.1,0.1 mg/Kg,3,38,"36,37",2006,(*),Th,,,,,Carbendazim,VR 0596,Sugar beet
0.07,0.07 mg/Kg,2019,52,,2021,,,,,,,Metconazole,VR 0596,Sugar beet
0.3,0.3 mg/Kg,9,42,,2010,,,,,,,Prothioconazole,VR 0596,Sugar beet
0.02,0.02 mg/Kg,2015,48,,2016,,,,,,,Flutriafol,VR 0596,Sugar beet
0.05,0.05 mg/Kg,,,,,(*),,,,,,Permethrin,VR 0596,Sugar beet
0.15,0.15 mg/Kg,2012,45,,2013,,,,,,,Fluxapyroxad,VR 0596,Sugar beet
0.1,0.1 mg/Kg,,,,1995,,,,,,,Diazinon,VR 0596,Sugar beet
0.03,0.03 mg/Kg,2017,50,,2018,,,,,,,Fenpropimorph,VR 0596,Sugar beet
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,Quintozene,VR 0596,Sugar beet
0.2,0.2 mg/Kg,3,37,36,2005,,,,,Based on the use of carbosulfan,,Carbofuran,VR 0596,Sugar beet
0.03,0.03 mg/Kg,6,39,,2007,,,,,,,Quinoxyfen,VR 0596,Sugar beet
0.05,0.05 mg/Kg,7,40,,2008,,,,,,,Flusilazole,VR 0596,Sugar beet
0.04,0.04 mg/Kg,2012,45,,2013,,,,,,,Fluopyram,VR 0596,Sugar beet
0.2,0.2 mg/Kg,7,40,,2008,,,,,,,Difenoconazole,VR 0596,Sugar beet
0.01,0.01 mg/Kg,2008,41,,2009,(*),,,,,,Spinetoram,VR 0596,Sugar beet
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,VR 0596,Sugar beet
0.2,0.2 mg/Kg,,,,1995,,,,,,,Disulfoton,VR 0596,Sugar beet
0.05,0.05 mg/Kg,98,,,,,,,,,Recommended for withdrawal,Dimethoate,VR 0596,Sugar beet
0.1,0.1 mg/Kg,"94,97",35,"28,31-34",2003,,,,,,Recommended for withdrawal,Clethodim,VR 0596,Sugar beet
15.0,15 mg/Kg,11,44,,2012,,,,,,,Glyphosate,VR 0596,Sugar beet
0.05,0.05 mg/Kg,7,40,,2008,(*),,,,,Based on triadimenol use only,Triadimenol,VR 0596,Sugar beet
0.06,0.06 mg/Kg,2019,52,,2021,,,,,,,Spirotetramat,VR 0596,Sugar beet
0.05,0.05 mg/Kg,7,40,,2008,(*),,,,Based on triadimenol use only,,Triadimefon,VR 0596,Sugar beet
0.05,0.05 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,VR 0596,Sugar beet
1.5,1.5 mg/Kg,12,45,,2013,,,,,,,Glufosinate-Ammonium,VR 0596,Sugar beet
0.05,0.05 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,VR 0596,Sugar beet
0.2,0.2 mg/Kg,1,35,34,2003,,,,,,Recommended withdrawal by JMPR (2021),Fipronil,VR 0596,Sugar beet
0.1,0.1 mg/Kg,94,28,,1997,(*),,,,,,Iprodione,VR 0596,Sugar beet
0.005,0.005 mg/Kg,2015,48,,2016,(*),,,,,,Abamectin,VR 0600,Yams
10.0,10 mg/Kg,2010,43,,2011,,,Po,,,,Fludioxonil,VR 0600,Yams
0.3,0.3 mg/Kg,2014,47,,2015,,,,,,Refer to Dithiocarbamates(105)/Mancozed(050).,Dithiocarbamates,VR 0604,Ginseng
0.03,0.03 mg/Kg,2019,52,,2021,(*),,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),VR 0604,Ginseng
0.1,0.1 mg/Kg,11,44,,2012,,,,,,,Azoxystrobin,VR 0604,Ginseng
4.0,4 mg/Kg,2013,46,,2014,,,,,,,Fludioxonil,VR 0604,Ginseng
0.7,0.7 mg/Kg,2017,50,,2018,,,,,,,Fenpyrazamine,VR 0604,Ginseng
0.15,0.15 mg/Kg,2015,48,,2016,,,,,,,Tebuconazole,VR 0604,Ginseng
0.03,0.03 mg/Kg,2017,50,,2018,(*),,,,,,Trifloxystrobin,VR 0604,Ginseng
0.08,0.08 mg/Kg,2013,46,,2014,,,,,,,Difenoconazole,VR 0604,Ginseng
0.1,0.1 mg/Kg,2019,52,,2021,,,,,,Recommended for withdrawal by JMPR (2021),Pydiflumetofen,VR 2070,Root vegetables (subgroup)
0.5,0.5 mg/Kg,2019,52,,2021,,,,,(except sugar beet),,Pyraclostrobin,VR 2070,Root vegetables (subgroup)
0.04,0.04 mg/Kg,2018,51,,2019,,,,,,,Oxathiapiprolin,VR 2071,Tuberous and corm vegetables (subgroup)
0.04,0.04 mg/Kg,2019,52,,2021,(*),,,,,,Metconazole,VR 2071,Tuberous and corm vegetables (subgroup)
0.02,0.02 mg/Kg,2018,51,,2019,(*),,,,,,Pyraclostrobin,VR 2071,Tuberous and corm vegetables (subgroup)
0.1,0.1 mg/Kg,2019,52,,2021,,,,,,,Pydiflumetofen,VR 2071,Tuberous and corm vegetables (subgroup)
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Afidopyropen,VR 2071,Tuberous and corm vegetables (subgroup)
0.03,0.03 mg/Kg,2018,51,,2019,,,,,(except potato),,Fluxapyroxad,VR 2071,Tuberous and corm vegetables (subgroup)
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Cyclaniliprole,VR 2071,Tuberous and corm vegetables (subgroup)
0.05,0.05 mg/Kg,2018,51,,2019,(*),,,,,,Kresoxim-Methyl,VR 4571,Turnip
30.0,30 mg/Kg,10,43,,2011,,,,,,,Boscalid,VS 0078,Stalk and stem vegetables
0.04,0.04 mg/Kg,10,44,43,2012,,C,,,Except artichoke and celery,,Clothianidin,VS 0078,Stalk and stem vegetables
3.0,3 mg/Kg,7,40,,2008,,,,,,,Cyromazine,VS 0620,"Artichoke, globe"
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Methiocarb,VS 0620,"Artichoke, globe"
1.5,1.5 mg/Kg,2017,50,,2018,,,,,,,Difenoconazole,VS 0620,"Artichoke, globe"
0.06,0.06 mg/Kg,2016,49,,2017,,,,,,,Penconazole,VS 0620,"Artichoke, globe"
0.1,0.1 mg/Kg,8,41,,2009,,,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),VS 0620,"Artichoke, globe"
5.0,5 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,VS 0620,"Artichoke, globe"
0.05,0.05 mg/Kg,3,37,,2005,,,,,,Recommended for withdrawal,Dimethoate,VS 0620,"Artichoke, globe"
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Flumioxazin,VS 0620,"Artichoke, globe"
2.0,2 mg/Kg,2014,47,,2015,,,,,,,Dimethomorph,VS 0620,"Artichoke, globe"
0.5,0.5 mg/Kg,10,43,,2011,,,,,,,Thiamethoxam,VS 0620,"Artichoke, globe"
2.0,2 mg/Kg,2011,44,,2012,,,,,,,Pyraclostrobin,VS 0620,"Artichoke, globe"
2.0,2 mg/Kg,2013,46,,2014,,,,,,,Chlorantraniliprole,VS 0620,"Artichoke, globe"
0.7,0.7 mg/Kg,7,40,,2008,,,,,Based on triadimenol use only,,Triadimefon,VS 0620,"Artichoke, globe"
4.0,4 mg/Kg,2017,50,,2018,,,,,,,Cyprodinil,VS 0620,"Artichoke, globe"
0.7,0.7 mg/Kg,7,40,,2008,,,,,,Based on triadimenol use only,Triadimenol,VS 0620,"Artichoke, globe"
0.6,0.6 mg/Kg,11,44,,2012,,,,,,,Tebuconazole,VS 0620,"Artichoke, globe"
0.2,0.2 mg/Kg,3,37,36,2005,,,,,,,Methamidophos,VS 0620,"Artichoke, globe"
0.05,0.05 mg/Kg,10,43,,2011,,T,,,,,Clothianidin,VS 0620,"Artichoke, globe"
0.4,0.4 mg/Kg,2017,50,,2018,,,,,,,Fluopyram,VS 0620,"Artichoke, globe"
5.0,5 mg/Kg,6,39,,2007,,,,,,,Pirimicarb,VS 0620,"Artichoke, globe"
0.3,0.3 mg/Kg,3,37,36,2005,,,,,,,Acephate,VS 0620,"Artichoke, globe"
1.0,1 mg/Kg,2013,46,,2014,,,,,,,Spirotetramat,VS 0620,"Artichoke, globe"
0.02,0.02 mg/Kg,2015,48,,2016,,,,,,,Flumioxazin,VS 0621,Asparagus
0.4,0.4 mg/Kg,11,44,,2012,,"a,C",,,,,Cypermethrins (including alpha- and zeta- cypermethrin),VS 0621,Asparagus
0.05,0.05 mg/Kg,,,,,(*),,,,,Withdrawal recommended by JMPR (2021),Metalaxyl,VS 0621,Asparagus
0.8,0.8 mg/Kg,2015,48,,2016,,,,,,,Acetamiprid,VS 0621,Asparagus
1.0,1 mg/Kg,,,,,,,,,,,Permethrin,VS 0621,Asparagus
0.02,0.02 mg/Kg,8,41,,2009,,,,,,,Cyhalothrin (includes lambda-cyhalothrin),VS 0621,Asparagus
0.2,0.2 mg/Kg,3,38,"36,37",2006,,C,,,,,Carbendazim,VS 0621,Asparagus
15.0,15 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,VS 0621,Asparagus
0.01,0.01 mg/Kg,6,39,,2007,(*),,,,,,Pirimicarb,VS 0621,Asparagus
1.0,1 mg/Kg,99,36,33-35,2004,,,,,,,Malathion,VS 0621,Asparagus
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,Pyraclostrobin,VS 0621,Asparagus
2.0,2 mg/Kg,1,,,1991,,,,,,,Methomyl,VS 0621,Asparagus
0.02,0.02 mg/Kg,,35,28-34,2003,(*),,,,,,Disulfoton,VS 0621,Asparagus
0.05,0.05 mg/Kg,98,34,32,2003,(*),,,,,Recommended for withdrawal,Dimethoate,VS 0621,Asparagus
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Tebuconazole,VS 0621,Asparagus
0.1,0.1 mg/Kg,1995,31,28-30,1999,,c,,,,,Dithiocarbamates,VS 0621,Asparagus
0.03,0.03 mg/Kg,7,40,,2008,,,,,,,Difenoconazole,VS 0621,Asparagus
0.4,0.4 mg/Kg,12,45,,2013,,,,,,,Glufosinate-Ammonium,VS 0621,Asparagus
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Mesotrione,VS 0621,Asparagus
5.0,5 mg/Kg,10,43,,2011,,,,,,,Dicamba,VS 0621,Asparagus
0.1,0.1 mg/Kg,2016,49,,2017,,,,,,,Pendimethalin,VS 0621,Asparagus
0.01,0.01 mg/Kg,2015,48,,2016,(*),,,,,,Chlorothalonil,VS 0621,Asparagus
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Fluopyram,VS 0621,Asparagus
0.05,0.05 mg/Kg,12,45,,2013,(*),,,,,,Trifloxystrobin,VS 0621,Asparagus
0.01,0.01 mg/Kg,8,41,,2009,(*),,,,,,Azoxystrobin,VS 0621,Asparagus
15.0,15 mg/Kg,2018,51,,2019,,,,,,,Fludioxonil,VS 0624,Celery
1.0,1 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,VS 0624,Celery
20.0,20 mg/Kg,2008,41,,2009,,,,,,,Mandipropamid,VS 0624,Celery
20.0,20 mg/Kg,9,43,,2011,,,,,,,Fluopicolide,VS 0624,Celery
3.0,3 mg/Kg,7,40,,2008,,,,,,,Difenoconazole,VS 0624,Celery
0.09,0.09 mg/Kg,2016,49,,2017,,,,,,,Pendimethalin,VS 0624,Celery
20.0,20 mg/Kg,12,45,,2013,,,,,,,Ametoctradin,VS 0624,Celery
5.0,5 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,VS 0624,Celery
1.5,1.5 mg/Kg,2018,51,,2019,,,,,,,Pyraclostrobin,VS 0624,Celery
0.04,0.04 mg/Kg,10,43,,2011,,T,,,,,Clothianidin,VS 0624,Celery
4.0,4 mg/Kg,8,41,,2009,,,,,,,Spirotetramat,VS 0624,Celery
1.5,1.5 mg/Kg,2015,48,,2016,,,,,,,Flonicamid,VS 0624,Celery
0.6,0.6 mg/Kg,12,45,,2013,,,,,,,Dinotefuran,VS 0624,Celery
